Train_Mae,Test_Mae,Train_R,Test_R
8.582244747048765,29.13687083025945,0.8877296903694115,0.1789777852671376
8.42477272554663,28.667366794202273,0.8866974066763675,0.19258593026190718
8.271711663011477,27.514112760678895,0.8867810354677736,0.18282102570095193
8.244279623772822,27.357122291182627,0.8853917332178314,0.15464899219056016
8.194734533163667,27.140945233941032,0.888257845057117,0.15973521170613392
8.209463814723293,27.125203919906564,0.8876280834404241,0.15220594966938272
7.906383150490024,26.562564169924197,0.8886563709234883,0.1353878586572932
7.902966854612302,26.39742756722834,0.8885384719499663,0.13541203018186554
7.895141851972449,26.185816209167747,0.890112377629269,0.131474474524656
7.912014232927695,26.08101191631476,0.8867351309266263,0.1398551836497054
7.8748668301170195,25.995540411049763,0.8900818973441962,0.12151927247428873
7.957370212202549,25.932822641680374,0.8837281540775881,0.1322909277033627
7.948306535620223,25.841813072222863,0.8861417257717749,0.13597313077446882
7.963162498902147,25.77642657057158,0.8847954648936924,0.14693863487906655
7.965998866810272,25.524192453916324,0.8847901344355233,0.15014893316148403
7.9067060068937,25.777607418868815,0.8876775336987097,0.13609848450245576
7.930482107208299,25.982537446665443,0.8870746950643261,0.1311146783938506
7.949366036910385,25.80328777743628,0.8853769395949785,0.1387665024211414
